sale_price,living_area,bedrooms,house_age,overall_quality,overall_condition,lot_area,full_bath,neighborhood,year_built,year_sold
285000,2225,4,18,8,5,11134,2,NoRidge,1992,2010
260000,1488,2,6,7,5,4835,2,Somerst,2004,2010
190000,1680,2,6,7,5,3515,2,Somerst,2004,2010
155000,1200,2,6,7,5,3215,2,Somerst,2004,2010
151000,1200,2,6,7,5,3182,2,Somerst,2004,2010
149500,1200,2,6,7,5,2544,2,Somerst,2004,2010
152000,1236,2,5,6,5,2544,2,Somerst,2005,2010
222000,1478,2,1,7,5,4403,2,Somerst,2009,2010
177500,1573,3,10,6,5,2117,2,Somerst,2000,2010
177000,1512,2,10,6,5,2980,2,Somerst,2000,2010
155000,1416,3,11,7,5,2572,2,Somerst,1999,2010
147110,1080,2,7,7,5,2403,2,Somerst,2003,2010
267916,1418,1,0,8,5,12853,1,Somerst,2010,2010
254000,1848,3,10,8,5,7379,2,Somerst,2000,2010
155000,788,1,30,8,5,4420,1,Greens,1980,2010
206000,1226,1,32,8,6,3880,1,Greens,1978,2010
130500,1479,3,34,6,8,13517,2,Sawyer,1976,2010
230000,1492,3,8,7,5,8000,2,Somerst,2002,2010
218500,1829,4,43,6,6,10456,2,NWAmes,1967,2010
243500,2495,4,17,6,5,10791,2,NWAmes,1993,2010
205000,1610,3,33,6,7,10603,2,NWAmes,1977,2010
212500,1891,3,32,6,5,18837,3,NWAmes,1978,2010
196500,1714,3,22,7,5,10421,2,NWAmes,1988,2010
197500,1381,3,38,6,7,9360,1,NWAmes,1972,2010
171000,1645,4,39,6,6,9600,1,NWAmes,1971,2010
142250,1232,3,44,5,5,9600,1,NAmes,1966,2010
143000,1328,3,47,6,5,9790,1,NWAmes,1963,2010
128950,1225,3,51,4,5,9320,1,NAmes,1959,2010
159000,1209,3,44,5,5,9900,1,NAmes,1966,2010
178900,1510,3,43,5,6,9680,2,NAmes,1967,2010
136300,1775,3,46,6,5,10600,2,NAmes,1964,2010
180500,1152,3,46,5,7,14112,1,NAmes,1964,2010
137500,1054,3,47,6,7,8800,1,NAmes,1963,2010
84900,1728,6,48,5,6,13260,2,NAmes,1962,2010
142125,1078,2,60,5,6,9717,1,NAmes,1950,2010
197600,2461,3,58,5,7,9724,2,NAmes,1952,2010
172500,1556,3,61,6,6,17360,2,NAmes,1949,2010
116500,858,2,52,5,7,7207,1,BrkSide,1958,2010
76500,1306,3,70,3,2,5350,1,BrkSide,1940,2010
128000,1063,3,56,5,5,9920,1,NAmes,1954,2010
153000,1520,3,55,6,6,9600,1,NAmes,1955,2010
132000,1268,2,56,5,6,7800,1,NAmes,1954,2010
178000,1128,2,44,6,8,11380,1,NAmes,1966,2010
154300,2274,5,50,5,5,11600,2,NAmes,1960,2010
180000,2207,3,40,7,5,19900,2,NAmes,1970,2010
190000,1888,2,44,6,6,16492,2,NAmes,1966,2010
135000,1604,4,52,5,5,8267,2,NAmes,1958,2010
214000,1480,3,7,7,5,8197,2,NAmes,2003,2010
136000,1143,3,51,5,5,8050,1,NAmes,1959,2010
165500,1700,4,51,5,5,10552,1,NAmes,1959,2010
145000,1314,3,53,5,6,8400,1,NAmes,1957,2010
148000,1194,3,51,6,6,8760,1,NAmes,1959,2010
142000,1188,3,51,5,5,12160,1,NAmes,1959,2010
167500,1264,3,50,5,5,9300,1,NAmes,1960,2010
108538,1206,3,51,5,5,10725,1,NAmes,1959,2010
159500,1580,3,51,6,5,10032,1,NAmes,1959,2010
108000,1337,3,54,4,5,8382,1,NAmes,1956,2010
135000,1064,2,58,5,7,10950,1,NAmes,1952,2010
122500,972,3,55,5,6,10895,1,NAmes,1955,2010
119000,988,2,52,5,5,13587,1,NAmes,1958,2010
109000,1057,3,57,5,7,7922,1,NAmes,1953,2010
105000,985,2,90,4,7,7898,1,NAmes,1920,2010
107500,827,2,55,5,7,7200,1,NAmes,1955,2010
144900,1086,3,56,5,7,10200,1,NAmes,1954,2010
129000,936,2,54,5,7,5868,1,NAmes,1956,2010
97500,1458,3,62,6,5,17503,1,NAmes,1948,2010
144000,1056,0,30,6,5,6979,0,OldTown,1980,2010
162000,1287,3,51,5,7,9830,1,NAmes,1959,2010
242000,2978,5,43,7,7,11275,2,NAmes,1967,2010
132000,1224,3,62,6,8,8064,1,NAmes,1948,2010
154000,1246,3,51,5,7,7500,1,NAmes,1959,2010
166000,1385,4,58,5,4,8520,2,NAmes,1952,2010
134800,900,3,59,5,7,7200,1,NAmes,1951,2010
160000,1116,3,48,6,6,10000,1,NAmes,1962,2010
148000,1175,3,50,5,6,7635,1,NAmes,1960,2010
192000,1395,2,47,6,7,9760,1,NAmes,1963,2010
155000,1839,4,44,6,5,7700,1,NAmes,1966,2010
80400,1844,3,110,4,5,4800,1,OldTown,1900,2010
96500,1140,3,100,4,7,8800,1,OldTown,1910,2010
109500,936,2,90,5,7,4485,1,OldTown,1920,2010
115000,1028,2,83,5,6,8960,1,OldTown,1927,2010
143000,1347,3,53,5,7,5805,1,OldTown,1957,2010
107400,1605,3,95,3,6,5790,2,OldTown,1915,2010
80000,747,2,65,4,6,4608,1,OldTown,1945,2010
119000,804,2,70,5,7,7200,1,OldTown,1940,2010
130000,1316,3,81,5,7,5500,1,OldTown,1929,2010
119000,1251,3,72,6,7,6900,1,OldTown,1938,2010
129000,1633,3,62,5,7,11851,1,OldTown,1948,2010
100000,1245,3,90,5,6,8239,1,OldTown,1920,2010
12789,832,2,87,2,2,9656,1,OldTown,1923,2010
105900,720,2,82,6,8,8520,1,OldTown,1928,2010
150000,1566,3,110,8,9,9600,2,OldTown,1900,2010
139000,1652,4,95,5,6,10800,2,OldTown,1915,2010
240000,2268,3,120,8,9,9000,3,OldTown,1890,2010
76500,2256,4,100,5,3,9045,2,OldTown,1910,2010
149700,1236,2,53,6,7,7407,1,OldTown,1957,2010
125500,1363,3,100,4,7,7740,1,OldTown,1910,2010
122500,2290,4,125,4,6,11340,2,OldTown,1885,2010
140750,1470,2,88,6,7,10560,1,OldTown,1922,2010
128500,1612,3,60,5,6,5830,1,BrkSide,1950,2010
209500,2068,3,88,7,7,7793,1,BrkSide,1922,2010
87000,765,2,85,4,7,5000,1,BrkSide,1925,2010
134000,1132,2,71,6,7,6000,1,BrkSide,1939,2010
128000,1196,3,70,6,6,6000,1,BrkSide,1940,2010
132000,1453,3,68,5,6,6360,1,BrkSide,1942,2010
139900,1416,3,62,6,7,6000,1,BrkSide,1948,2010
123900,1040,2,74,5,7,6240,1,BrkSide,1936,2010
138400,1536,4,80,5,5,6240,2,BrkSide,1930,2010
109500,1068,2,87,6,5,6120,1,OldTown,1923,2010
140000,1710,3,89,7,6,10300,2,OldTown,1921,2010
149500,1962,4,95,4,5,8094,1,OldTown,1915,2010
159900,1560,3,98,6,8,12900,1,OldTown,1912,2010
122000,1324,3,90,6,8,3068,1,OldTown,1920,2010
110000,816,2,47,5,5,8472,1,IDOTRR,1963,2010
55000,1092,3,80,4,5,5600,2,IDOTRR,1930,2010
140000,1812,4,110,5,9,7630,2,OldTown,1900,2010
244400,2403,4,70,7,7,24090,2,ClearCr,1940,2010
173000,1675,3,51,5,5,15263,2,ClearCr,1959,2010
107500,1224,3,93,5,3,10632,1,ClearCr,1917,2010
100000,1392,3,95,5,4,9900,1,SWISU,1915,2010
95000,919,3,70,6,5,6001,1,SWISU,1940,2010
93369,1884,4,103,4,1,6449,1,SWISU,1907,2010
114900,1680,2,100,5,7,6048,2,SWISU,1910,2010
94000,1020,2,135,5,8,6342,1,Sawyer,1875,2010
136000,1832,4,43,4,3,10773,2,Sawyer,1967,2010
136500,1768,4,42,4,5,10778,2,Sawyer,1968,2010
131500,1039,3,45,5,4,11625,1,Sawyer,1965,2010
121500,1392,3,53,5,6,11341,1,Sawyer,1957,2010
125000,912,3,43,5,5,8521,1,Sawyer,1967,2010
154000,1060,3,42,5,8,8246,1,Sawyer,1968,2010
137900,892,3,44,5,7,7800,1,Sawyer,1966,2010
158000,1352,4,41,6,7,9364,1,Sawyer,1969,2010
137250,864,2,42,5,5,7832,1,Sawyer,1968,2010
160250,1373,3,32,5,5,7424,1,Sawyer,1978,2010
163000,1440,4,42,5,5,11227,1,Sawyer,1968,2010
158900,1386,3,32,6,5,11616,2,Sawyer,1978,2010
328000,2260,3,14,7,5,14000,2,ClearCr,1996,2010
270000,1483,1,33,7,7,20062,1,ClearCr,1977,2010
85000,756,2,83,4,4,9259,1,Sawyer,1927,2010
128000,1067,2,60,4,7,9600,2,Sawyer,1950,2010
260000,1524,0,31,7,6,23595,0,ClearCr,1979,2010
230000,1981,4,32,6,5,17082,2,ClearCr,1978,2010
124000,1610,4,72,3,4,18600,2,Edwards,1938,2010
83000,835,2,90,5,5,10625,1,Edwards,1920,2010
144500,1074,3,60,6,7,11479,1,Edwards,1950,2010
129000,1144,3,54,5,6,9571,1,Edwards,1956,2010
127000,1531,3,63,4,6,9350,1,Edwards,1947,2010
128000,1172,3,56,5,7,9525,1,Edwards,1954,2010
186000,1212,3,1,6,5,10420,2,Edwards,2009,2010
308030,1508,1,1,7,5,17485,1,Edwards,2009,2010
114000,1298,3,46,5,3,11200,2,Edwards,1964,2010
84900,930,2,64,4,7,11100,1,Edwards,1946,2010
178000,1732,3,25,6,5,9206,2,SawyerW,1985,2010
270000,1433,1,23,7,5,11980,1,SawyerW,1987,2010
218000,1802,3,17,6,7,12361,2,SawyerW,1993,2010
236000,1949,3,17,7,5,9938,2,SawyerW,1993,2010
147000,996,2,18,6,6,9069,1,SawyerW,1992,2010
245350,1694,3,2,8,5,10475,2,CollgCr,2008,2010
206000,1208,2,4,7,5,6762,2,CollgCr,2006,2010
198900,1226,3,1,7,5,10402,2,CollgCr,2009,2010
187000,1222,2,0,7,5,7360,2,CollgCr,2010,2010
320000,3222,5,20,7,5,12376,3,SawyerW,1990,2010
138500,1445,3,110,6,8,14235,2,SawyerW,1900,2010
155000,1052,3,39,6,7,8816,1,ClearCr,1971,2010
159000,965,2,14,5,5,11105,1,CollgCr,1996,2010
191000,1692,3,13,7,5,9337,2,CollgCr,1997,2010
200500,1682,3,12,6,5,8750,2,CollgCr,1998,2010
150000,1026,3,33,5,8,15240,1,CollgCr,1977,2010
161750,1392,3,33,6,7,10900,1,CollgCr,1977,2010
128200,894,3,34,5,6,10650,1,CollgCr,1976,2010
127000,876,3,38,5,6,7480,1,CollgCr,1972,2010
318000,1978,3,7,8,5,10389,2,CollgCr,2003,2010
272000,1601,3,9,8,5,11423,2,CollgCr,2001,2010
237000,1829,3,7,7,6,9548,2,CollgCr,2003,2010
240000,2098,4,13,7,5,9375,2,CollgCr,1997,2010
224900,1661,3,12,7,5,12137,2,CollgCr,1998,2010
143750,848,1,7,6,5,4435,1,CollgCr,2003,2010
143000,848,1,6,6,5,4426,1,CollgCr,2004,2010
232000,1668,3,7,8,5,10635,2,CollgCr,2003,2010
213000,1484,3,6,7,5,8400,2,CollgCr,2004,2010
185500,1414,3,6,7,5,8773,2,CollgCr,2004,2010
84900,640,2,65,3,6,8777,1,Edwards,1945,2010
155891,992,3,56,5,6,8842,1,Edwards,1954,2010
100000,1664,4,45,5,5,9825,2,Edwards,1965,2010
144000,1196,3,42,5,6,10044,1,Edwards,1968,2010
64000,1120,2,62,4,5,11792,1,Edwards,1948,2010
125200,1096,3,35,6,6,6305,1,Edwards,1975,2010
107000,1117,3,34,6,5,7819,1,Edwards,1976,2010
90000,960,3,52,4,5,6410,1,Edwards,1958,2010
140000,1121,2,7,4,5,8546,2,Edwards,2003,2010
113000,1487,3,65,6,4,8741,1,Edwards,1945,2010
80000,924,2,69,4,4,12180,1,Edwards,1941,2010
144500,1526,4,53,5,6,8562,1,Edwards,1957,2010
104000,1296,2,86,5,6,4853,2,SWISU,1924,2010
128000,1647,4,95,6,4,6858,1,SWISU,1915,2010
58500,864,2,96,3,3,8212,1,Edwards,1914,2010
127000,1691,3,86,5,6,5000,2,SWISU,1924,2010
126000,856,2,71,6,6,7890,1,SWISU,1939,2010
160000,2650,6,43,4,6,7200,3,SWISU,1967,2010
100000,1666,3,79,5,2,9839,1,SWISU,1931,2010
169000,2447,4,91,6,7,9638,2,SWISU,1919,2010
257500,2133,4,69,7,6,10452,1,Crawfor,1941,2010
215000,2177,5,60,5,6,15600,2,Crawfor,1950,2010
266500,2340,4,69,7,9,9042,2,Crawfor,1941,2010
335000,1902,3,51,7,8,17500,2,Crawfor,1959,2010
203135,1652,3,16,7,6,19645,2,Crawfor,1994,2010
185000,1034,1,21,8,6,3907,1,Blueste,1989,2010
162500,1191,2,21,8,5,3907,2,Blueste,1989,2010
289000,1801,1,51,7,8,15602,2,Crawfor,1959,2010
125500,1154,3,88,4,8,5436,1,IDOTRR,1922,2010
82000,540,1,69,2,5,8154,1,IDOTRR,1941,2010
110000,1107,2,89,6,5,9140,1,IDOTRR,1921,2010
68400,1128,2,90,4,4,7500,1,IDOTRR,1920,2010
102776,1178,2,110,4,7,8712,1,IDOTRR,1900,2010
55993,1044,2,58,5,5,8712,1,IDOTRR,1952,2010
50138,952,3,114,4,7,8712,1,IDOTRR,1896,2010
246000,1646,2,6,8,5,3811,2,Crawfor,2004,2010
254900,1916,3,12,8,5,11050,2,Mitchel,1998,2010
190000,1285,3,33,6,7,9620,2,Mitchel,1977,2010
201000,1560,3,7,7,5,9196,2,Mitchel,2003,2010
169900,1034,3,34,6,5,12328,1,Mitchel,1976,2010
170000,2048,5,34,6,5,12760,3,Mitchel,1976,2010
160000,1687,3,62,5,5,57200,1,Timber,1948,2010
220000,1346,3,2,7,5,11896,2,Timber,2008,2010
179781,1214,2,1,7,5,9803,2,Timber,2009,2010
174000,1444,3,4,5,5,9802,2,Timber,2006,2010
269500,1968,4,1,8,5,12003,2,Timber,2009,2010
214900,1894,4,8,7,5,11316,2,Timber,2002,2010
202900,1908,4,8,8,5,14191,2,Timber,2002,2010
378500,2018,3,2,9,5,13214,2,Timber,2008,2010
169000,1264,2,45,5,5,15300,1,Mitchel,1965,2010
173500,1430,3,6,5,5,10114,2,Mitchel,2004,2010
139000,1824,4,39,6,5,9400,2,Mitchel,1971,2010
166500,1344,3,11,5,5,11875,2,Mitchel,1999,2010
83500,1092,3,37,4,5,1974,1,MeadowV,1973,2010
119500,945,2,37,5,6,2394,1,MeadowV,1973,2010
85000,1112,3,34,5,3,2592,1,MeadowV,1976,2010
76000,1092,3,40,4,7,1476,1,MeadowV,1970,2010
75500,630,1,38,4,6,1491,1,MeadowV,1972,2010
88250,1092,3,40,4,4,1900,1,MeadowV,1970,2010
85500,1092,3,38,4,6,1890,1,MeadowV,1972,2010
130000,874,3,39,5,7,6953,1,Mitchel,1971,2010
157900,1188,3,48,5,7,26142,1,Mitchel,1962,2010
149900,833,2,26,5,7,12887,1,Mitchel,1984,2010
159000,2432,4,25,5,2,7700,4,Mitchel,1985,2010
136000,1274,3,19,5,5,10475,1,Mitchel,1991,2010
161000,1479,5,41,5,5,10544,2,Mitchel,1969,2010
285000,1803,3,16,8,5,9892,2,Mitchel,1994,2010
231000,1797,3,17,6,5,12961,2,Mitchel,1993,2010
124500,882,2,53,6,5,13008,1,NAmes,1956,2009
157000,1434,4,35,6,5,10200,2,NAmes,1974,2009
345000,2704,4,37,8,7,13860,2,NAmes,1972,2009
189500,1608,3,12,6,5,10179,2,Gilbert,1997,2009
270000,2283,4,6,8,5,11792,2,Gilbert,2003,2009
189000,1628,3,13,7,5,8400,2,Gilbert,1996,2009
377500,1746,3,3,9,5,14892,2,Gilbert,2006,2009
168500,1474,3,14,7,5,8530,2,Gilbert,1995,2009
375000,2522,1,5,8,5,7296,2,StoneBr,2004,2009
278000,1659,2,9,8,5,5664,2,StoneBr,2000,2009
240000,1478,2,11,8,5,7380,2,StoneBr,1998,2009
239500,1734,2,14,8,5,8013,2,StoneBr,1995,2009
177500,1382,3,11,7,5,8923,2,Gilbert,1998,2009
185000,1718,3,11,7,5,10141,2,Gilbert,1998,2009
191000,1636,3,11,6,5,7500,2,Gilbert,1998,2009
178000,1571,3,16,6,7,7837,2,Gilbert,1993,2009
185000,1470,3,16,6,8,9765,2,Gilbert,1993,2009
181316,1516,3,15,6,5,8803,2,Gilbert,1994,2009
166000,1190,3,16,6,5,7250,2,Gilbert,1993,2009
178000,1593,3,17,6,5,9636,2,Gilbert,1992,2009
174000,1481,3,15,6,5,8125,2,Gilbert,1994,2009
173000,1167,3,17,6,6,9248,2,Gilbert,1992,2009
225000,1983,3,10,7,5,10762,2,Gilbert,1999,2009
180500,1442,3,19,7,5,11851,2,Gilbert,1990,2009
187500,1360,1,25,8,5,5814,1,StoneBr,1984,2009
501837,2234,1,1,9,5,17423,2,StoneBr,2008,2009
372500,2046,3,1,8,5,11844,2,StoneBr,2008,2009
260000,1530,3,4,7,5,16158,2,StoneBr,2005,2009
185000,1934,3,32,5,6,11900,2,Gilbert,1977,2009
260000,2353,4,29,7,7,13005,2,NWAmes,1980,2009
181000,1586,3,30,6,5,17043,2,NWAmes,1979,2009
82500,1411,3,32,7,5,11900,2,NWAmes,1977,2009
215000,1602,3,32,6,7,16635,2,NWAmes,1977,2009
154000,2050,4,31,7,6,13250,2,NWAmes,1978,2009
200000,1671,3,31,6,6,10928,2,NWAmes,1978,2009
249000,2673,4,29,7,7,12388,2,NWAmes,1980,2009
187500,1472,3,29,7,5,14115,2,NWAmes,1980,2009
184000,1707,3,31,6,5,11088,2,NWAmes,1978,2009
278000,2524,4,28,8,5,9600,2,NWAmes,1981,2009
157000,1601,3,31,7,5,11880,2,NWAmes,1978,2009
152000,1370,3,33,7,5,10400,2,NWAmes,1976,2009
197500,1868,4,33,5,7,10304,2,NWAmes,1976,2009
240900,1884,3,6,7,5,7000,2,Somerst,2003,2009
263435,1935,3,0,8,5,8004,2,Somerst,2009,2009
220000,1874,3,9,8,5,7500,2,Somerst,2000,2009
235000,1811,3,7,8,5,8470,2,Somerst,2002,2009
213000,1621,3,34,5,7,9373,2,NWAmes,1975,2009
167900,1116,3,35,6,6,10140,2,NWAmes,1974,2009
158000,1193,3,34,7,5,11050,2,NWAmes,1975,2009
165000,1350,3,35,6,5,10140,2,NWAmes,1974,2009
158000,2119,3,37,6,6,10448,2,NWAmes,1972,2009
136000,1792,4,35,5,5,9000,2,NAmes,1974,2009
148500,1002,3,39,5,6,8750,1,NAmes,1970,2009
156000,1026,3,40,6,8,7930,1,NAmes,1969,2009
128000,1180,2,39,5,5,7830,1,NAmes,1970,2009
143000,1050,3,38,5,7,8510,1,NAmes,1971,2009
76500,864,3,39,4,6,7038,1,NAmes,1970,2009
120500,864,3,39,4,6,6960,1,NAmes,1970,2009
124500,864,3,39,4,7,8120,1,NAmes,1970,2009
97000,864,2,38,4,6,10500,1,NAmes,1971,2009
130000,864,3,38,4,7,9000,1,NAmes,1971,2009
111000,987,2,36,6,5,1680,1,BrDale,1973,2009
125000,1365,3,39,5,6,2368,1,BrDale,1970,2009
112000,1302,3,38,5,5,1680,2,BrDale,1971,2009
97000,987,2,37,6,6,1680,1,BrDale,1972,2009
118000,987,2,37,6,8,1680,1,BrDale,1972,2009
119500,1302,3,37,5,7,1680,2,BrDale,1972,2009
143750,958,2,33,6,6,4928,2,NPkVill,1976,2009
146000,1548,3,33,6,5,2308,2,NPkVill,1976,2009
148500,1456,3,33,6,6,2280,2,NPkVill,1976,2009
123000,1055,2,34,7,5,2280,2,NPkVill,1975,2009
147000,1322,3,35,6,5,2308,2,NPkVill,1974,2009
137900,1456,3,32,6,5,2349,2,NPkVill,1977,2009
147000,1548,3,31,6,5,2364,2,NPkVill,1978,2009
148500,1441,3,31,6,6,2289,2,NPkVill,1978,2009
138000,1456,3,31,6,5,2364,2,NPkVill,1978,2009
128500,836,2,33,7,6,2104,1,NPkVill,1976,2009
100000,892,3,42,5,5,7150,1,NAmes,1967,2009
148800,1120,3,43,5,7,10710,1,NAmes,1966,2009
337500,1718,3,3,10,5,12456,2,NridgHt,2006,2009
462000,2772,4,2,9,5,14257,3,NridgHt,2007,2009
485000,3140,4,1,9,5,13518,3,NridgHt,2008,2009
555000,2402,2,1,10,5,15431,2,NridgHt,2008,2009
325000,1652,2,3,9,5,13173,2,NridgHt,2006,2009
256300,1600,3,2,8,5,14230,2,NridgHt,2007,2009
253293,2042,3,1,8,5,12704,2,NridgHt,2008,2009
398800,2690,3,0,9,5,12350,2,NridgHt,2009,2009
335000,2184,3,1,9,5,11308,2,NridgHt,2008,2009
404000,2020,3,1,9,5,12350,2,NridgHt,2008,2009
402861,2020,3,0,10,5,12220,2,NridgHt,2009,2009
451950,2296,3,1,10,5,13478,2,NridgHt,2008,2009
610000,2674,2,2,10,5,13693,2,NridgHt,2007,2009
582933,2822,4,1,9,5,13891,3,NridgHt,2008,2009
360000,1736,3,1,9,5,11578,2,NridgHt,2008,2009
296000,1782,3,5,8,5,16870,2,NridgHt,2004,2009
409900,2520,5,2,8,5,23303,2,NridgHt,2007,2009
255500,1717,3,3,8,5,11146,2,NridgHt,2006,2009
335000,1743,3,1,9,5,10367,2,NridgHt,2008,2009
274900,1713,3,5,8,5,9591,2,NridgHt,2004,2009
300000,1531,2,3,9,5,10872,2,NridgHt,2006,2009
324000,1808,3,1,9,5,13514,2,NridgHt,2008,2009
350000,2224,4,5,9,5,8834,2,NridgHt,2004,2009
280000,1836,3,5,8,5,11362,2,NridgHt,2004,2009
284000,1629,3,6,8,5,10655,2,NridgHt,2003,2009
269500,1760,3,6,7,5,12878,2,NridgHt,2003,2009
233170,1502,3,0,7,5,9541,2,NridgHt,2009,2009
386250,2392,3,6,10,5,13472,2,NridgHt,2003,2009
445000,2452,3,6,9,5,15274,2,NridgHt,2003,2009
290000,2400,4,6,8,5,13262,3,NridgHt,2003,2009
255900,1606,3,3,8,5,9658,2,NridgHt,2006,2009
213000,1358,2,4,6,5,6904,2,NridgHt,2005,2009
196000,1306,1,4,6,5,5381,2,NridgHt,2005,2009
184500,1306,1,4,6,5,5122,2,NridgHt,2005,2009
212500,1358,2,2,7,5,10307,2,NridgHt,2007,2009
