final_score,prior_score,first_period_score,study_time,absences,internet_access,failures,age,sex,go_out,health
18,18,19,2,2,Yes,0,15,Male,3,5
11,8,8,1,0,Yes,0,15,Male,1,1
9,10,10,2,14,Yes,1,16,Female,3,5
6,8,8,2,8,Yes,0,15,Female,2,5
11,12,11,2,12,Yes,0,16,Female,5,3
20,19,19,4,4,Yes,0,16,Male,2,2
14,15,15,2,2,No,0,15,Male,3,5
7,7,7,2,2,Yes,1,15,Female,4,3
13,13,12,2,2,Yes,0,16,Female,3,4
13,13,11,2,2,Yes,0,15,Female,3,5
10,11,11,1,6,No,1,15,Male,5,5
11,10,8,1,0,Yes,0,15,Female,4,5
13,13,10,1,6,Yes,0,15,Female,4,1
10,9,8,2,8,Yes,0,16,Female,4,2
15,15,14,2,0,Yes,0,15,Female,2,1
15,15,14,2,4,No,0,15,Male,2,5
9,10,9,2,2,Yes,0,15,Male,2,5
16,16,15,2,2,Yes,0,16,Female,3,5
11,11,10,2,6,No,0,16,Female,4,4
11,8,10,1,6,Yes,0,16,Female,5,5
9,10,8,2,4,Yes,0,16,Female,3,1
9,9,10,3,2,Yes,0,16,Female,4,4
10,10,10,2,0,Yes,0,15,Female,4,2
15,15,16,2,2,Yes,0,16,Female,3,1
12,13,13,4,4,Yes,0,15,Male,3,3
6,7,7,4,4,Yes,0,16,Female,3,5
8,9,8,2,2,Yes,0,15,Female,3,4
16,16,16,4,12,Yes,0,15,Female,2,3
15,15,13,4,0,Yes,0,16,Male,2,5
10,10,10,4,0,Yes,0,15,Male,3,3
5,6,8,2,2,Yes,2,15,Female,4,5
14,12,12,1,2,No,0,16,Male,2,5
11,12,11,2,54,Yes,0,16,Female,3,5
10,9,9,2,6,Yes,0,15,Male,3,5
10,11,11,4,8,Yes,0,15,Male,3,1
11,11,11,4,0,Yes,0,16,Female,3,3
10,8,8,1,2,Yes,3,17,Male,1,3
5,5,5,2,12,Yes,0,16,Female,3,3
12,12,10,1,2,Yes,0,15,Male,2,3
11,10,11,3,4,Yes,0,15,Male,2,5
6,6,7,2,10,Yes,0,15,Female,4,5
15,15,15,2,4,Yes,0,15,Male,3,4
10,10,9,2,2,Yes,0,15,Female,2,4
8,9,7,2,6,Yes,2,15,Female,4,5
6,7,8,2,4,No,0,16,Female,4,2
14,14,13,3,4,Yes,0,15,Female,3,1
10,10,11,2,12,Yes,1,16,Male,2,3
7,6,8,2,18,No,0,16,Male,3,5
8,7,7,3,0,Yes,0,16,Female,3,4
18,17,16,1,4,Yes,0,15,Female,5,1
6,6,7,2,4,No,0,16,Female,3,2
10,10,11,2,0,Yes,0,16,Female,3,1
14,13,11,4,6,Yes,0,15,Male,4,4
10,10,7,4,2,Yes,1,15,Female,2,1
15,15,11,1,2,Yes,0,16,Male,3,4
10,9,8,2,2,No,0,16,Female,5,5
14,14,11,1,6,Yes,0,16,Female,4,1
8,9,7,3,0,Yes,0,16,Female,5,3
5,7,7,1,14,Yes,0,16,Male,5,4
17,17,16,3,0,Yes,0,16,Male,3,4
14,13,10,1,4,Yes,0,15,Male,3,5
6,6,7,2,26,Yes,0,15,Female,5,2
18,18,16,2,0,Yes,0,15,Male,4,1
11,11,10,4,10,No,0,15,Female,3,4
8,8,7,4,8,Yes,0,15,Female,2,3
18,18,16,3,2,Yes,0,16,Male,3,5
13,13,10,4,6,Yes,0,15,Male,5,1
16,15,14,3,4,Yes,0,16,Female,5,4
19,19,18,1,6,Yes,0,15,Male,3,4
10,10,7,3,0,Yes,1,16,Female,2,2
13,13,10,2,6,Yes,1,16,Female,2,5
19,19,18,1,10,Yes,0,15,Male,2,3
9,9,9,2,8,Yes,0,15,Male,2,5
16,15,15,2,2,Yes,0,16,Male,4,5
14,13,11,2,2,No,0,15,Male,3,2
13,14,13,1,0,Yes,0,16,Male,2,5
8,7,9,2,20,Yes,1,17,Male,4,5
13,13,14,1,6,Yes,0,15,Male,3,4
15,15,16,2,2,Yes,0,15,Female,3,1
15,14,16,4,6,Yes,0,15,Male,4,5
13,13,13,2,2,Yes,0,16,Female,2,5
13,11,14,1,18,Yes,0,16,Male,4,5
8,7,8,2,0,Yes,0,16,Female,4,5
12,13,13,1,0,Yes,0,15,Male,5,5
11,10,7,2,0,Yes,0,15,Female,2,1
9,8,7,2,2,No,3,19,Female,2,5
0,4,7,1,0,Yes,2,18,Male,3,4
18,18,18,1,8,Yes,0,16,Male,5,4
0,0,12,3,0,Yes,2,15,Female,2,5
0,0,8,1,0,Yes,0,15,Female,3,4
12,13,10,1,12,Yes,0,17,Female,4,5
11,11,12,1,16,Yes,0,16,Female,1,5
0,0,9,2,0,No,0,15,Male,3,5
0,0,11,3,0,Yes,0,15,Female,3,5
0,0,10,2,0,No,0,17,Male,5,5
0,0,4,1,0,Yes,2,16,Female,2,5
12,12,14,2,0,No,1,16,Male,4,5
15,16,16,1,0,Yes,0,15,Female,2,5
0,9,7,4,0,Yes,0,15,Male,2,3
9,9,9,1,8,Yes,2,16,Male,3,2
11,11,9,3,2,Yes,0,15,Female,2,5
13,14,14,1,2,Yes,0,16,Female,4,1
0,0,5,1,0,Yes,3,17,Male,5,5
11,11,8,2,0,Yes,0,15,Female,2,5
0,7,6,2,0,Yes,3,15,Female,2,3
11,11,10,2,2,Yes,0,15,Female,2,5
0,6,7,1,0,Yes,0,16,Male,2,5
10,9,8,1,0,Yes,3,15,Male,5,5
0,5,6,1,0,Yes,3,18,Male,5,4
14,13,12,1,6,No,1,16,Male,4,5
10,10,10,3,8,Yes,2,15,Female,1,3
0,0,5,1,0,Yes,3,19,Male,4,4
12,11,11,1,0,No,0,17,Female,1,4
8,8,11,2,2,No,0,15,Male,4,1
13,12,16,1,8,No,0,17,Male,2,5
10,8,9,1,6,No,3,18,Female,5,4
15,15,17,1,2,No,0,16,Male,2,3
12,12,10,2,4,Yes,1,16,Male,5,5
0,6,7,1,0,Yes,2,17,Male,2,5
7,9,5,2,6,Yes,2,15,Male,4,3
0,0,7,1,0,No,1,16,Male,4,5
10,10,10,1,2,Yes,0,17,Male,3,2
7,8,5,2,0,No,3,17,Male,5,5
12,11,12,1,16,No,1,16,Male,2,2
10,10,10,2,4,Yes,0,16,Male,5,4
16,15,14,2,0,Yes,0,16,Female,3,3
0,7,6,2,0,Yes,0,16,Female,5,4
14,14,14,2,0,Yes,0,16,Female,2,3
0,5,6,1,0,Yes,2,16,Male,5,2
16,15,13,2,2,Yes,0,16,Male,2,3
10,11,13,2,0,Yes,0,17,Male,4,5
0,7,8,2,0,Yes,3,16,Female,5,3
9,11,10,2,4,Yes,0,16,Female,5,4
9,9,10,2,4,Yes,0,17,Male,4,4
11,13,13,2,2,Yes,0,16,Female,4,5
6,5,6,2,4,Yes,0,17,Male,4,4
9,8,10,1,10,Yes,0,16,Male,3,3
11,10,10,2,4,Yes,0,17,Male,3,2
8,8,9,2,10,Yes,0,16,Male,3,3
12,13,12,2,2,Yes,0,16,Male,3,3
17,17,16,2,0,No,0,17,Female,2,5
8,9,9,2,56,Yes,0,17,Female,3,1
12,13,12,2,14,Yes,0,16,Female,2,1
11,12,12,2,12,Yes,0,17,Male,4,4
11,12,11,1,2,Yes,0,16,Male,3,3
15,15,15,2,0,Yes,0,16,Male,3,5
9,7,8,2,6,Yes,0,17,Female,3,3
10,9,8,2,4,No,0,17,Male,3,3
13,12,11,2,10,Yes,0,16,Female,3,2
9,8,8,2,0,Yes,0,17,Female,3,3
8,8,7,2,12,Yes,0,17,Male,4,5
10,9,8,1,8,Yes,0,16,Male,2,5
14,14,13,1,0,Yes,0,16,Male,3,3
15,15,14,2,0,Yes,0,17,Female,2,5
16,15,17,1,4,Yes,0,17,Male,3,5
10,9,9,1,8,Yes,0,16,Male,4,3
18,18,18,1,24,Yes,1,17,Female,4,2
10,9,9,2,0,Yes,0,16,Female,2,3
16,16,16,2,2,Yes,0,16,Female,5,2
10,10,8,2,6,No,0,16,Female,3,4
10,9,9,2,4,No,0,17,Female,4,1
6,6,7,1,18,Yes,0,17,Female,2,3
11,10,10,4,6,Yes,0,16,Female,5,5
9,9,10,3,28,Yes,1,17,Female,3,5
7,7,7,2,5,Yes,3,16,Female,3,4
13,12,11,2,10,Yes,0,16,Female,2,1
10,9,9,1,6,No,0,16,Female,2,5
7,7,7,3,6,Yes,0,17,Female,2,4
8,8,8,4,10,Yes,0,19,Female,3,3
13,12,12,2,13,Yes,0,17,Male,5,3
14,13,12,2,0,Yes,0,16,Female,4,4
8,7,6,2,15,Yes,1,18,Male,4,5
10,10,8,1,12,No,0,17,Female,1,3
15,15,14,2,2,Yes,0,17,Female,4,1
4,6,6,2,22,Yes,2,17,Female,5,1
8,6,6,2,13,Yes,1,18,Male,4,4
8,7,7,1,3,No,0,17,Female,3,3
10,10,9,3,4,Yes,0,17,Female,3,4
6,6,6,2,2,Yes,0,17,Female,5,5
0,5,6,3,0,No,1,17,Female,4,5
17,16,16,2,2,Yes,0,16,Female,1,3
13,13,12,2,0,Yes,0,18,Male,3,4
14,13,13,3,0,Yes,0,16,Female,2,5
7,8,9,2,16,Yes,1,18,Female,3,4
15,15,16,2,10,Yes,0,17,Female,4,3
12,11,12,2,2,Yes,0,17,Male,3,3
9,8,10,2,14,Yes,0,18,Male,2,3
12,10,12,3,10,Yes,0,17,Female,3,3
14,13,13,2,14,Yes,0,17,Female,3,3
11,11,11,2,4,Yes,0,17,Male,2,1
9,9,11,2,14,Yes,0,17,Male,5,2
13,13,14,2,2,Yes,0,16,Male,4,1
6,7,9,2,18,Yes,0,16,Male,2,5
10,9,11,3,10,Yes,0,16,Male,3,2
13,13,14,2,4,Yes,0,17,Male,2,4
12,12,13,1,20,Yes,0,16,Female,2,5
11,11,13,2,2,No,0,17,Female,1,3
0,7,7,2,0,Yes,1,18,Male,4,2
12,12,12,2,14,Yes,0,17,Male,5,5
12,11,10,2,2,Yes,0,17,Male,3,4
0,0,6,1,0,Yes,0,16,Male,5,3
12,12,13,1,0,Yes,0,16,Male,2,5
0,0,7,3,0,Yes,0,18,Female,4,3
18,18,18,1,6,Yes,0,16,Male,3,4
13,12,12,1,4,Yes,0,17,Male,2,2
8,8,6,1,16,Yes,3,22,Male,5,1
5,5,3,2,8,Yes,1,18,Male,3,5
15,15,13,1,0,Yes,0,16,Male,2,5
8,8,6,1,0,Yes,1,18,Male,5,5
10,10,7,2,6,Yes,0,16,Male,3,2
8,9,6,1,4,Yes,1,18,Male,5,5
8,9,8,1,0,No,0,16,Male,2,3
12,12,8,1,0,Yes,0,17,Male,2,5
8,9,7,1,2,Yes,1,17,Male,4,5
13,12,14,4,6,Yes,0,17,Female,3,4
11,11,11,2,12,Yes,0,19,Male,1,1
14,14,15,2,8,Yes,0,18,Male,4,4
0,9,10,4,0,Yes,0,17,Female,1,2
18,18,17,2,21,Yes,0,18,Female,2,2
8,8,8,2,2,Yes,0,18,Male,2,3
12,12,13,3,1,No,0,18,Male,2,3
9,9,10,3,4,No,0,17,Female,3,4
0,10,9,3,0,Yes,0,18,Female,3,3
17,17,17,2,13,Yes,0,18,Male,5,1
10,9,9,2,2,Yes,0,17,Male,4,5
11,10,12,2,8,Yes,0,18,Female,4,4
10,9,10,2,10,Yes,0,18,Male,5,5
0,0,6,2,0,Yes,0,18,Female,5,3
9,9,9,2,15,Yes,2,19,Female,5,5
14,14,15,4,4,Yes,0,18,Female,5,2
11,11,11,2,2,No,0,18,Female,3,3
14,14,15,2,2,No,0,17,Male,2,1
10,10,10,2,2,Yes,0,17,Female,3,1
12,12,12,2,6,Yes,0,17,Female,4,5
9,9,10,2,75,Yes,0,18,Female,1,5
9,9,9,1,22,Yes,0,18,Male,4,3
8,8,9,2,15,Yes,1,18,Female,4,4
10,11,10,1,8,Yes,0,18,Male,3,1
8,8,8,1,30,Yes,0,17,Male,4,5
10,9,11,1,19,Yes,1,17,Male,4,3
12,12,12,4,1,No,0,18,Female,2,3
10,9,8,2,4,Yes,0,18,Female,4,4
11,9,10,2,4,Yes,0,17,Female,5,5
11,10,12,2,2,Yes,0,17,Male,3,4
19,18,18,3,5,Yes,0,18,Female,3,2
12,12,13,3,6,Yes,0,17,Female,3,3
14,14,15,3,6,Yes,0,18,Male,4,2
15,13,15,2,9,Yes,0,18,Male,3,2
11,11,12,2,11,Yes,0,18,Male,2,5
15,15,15,3,0,Yes,0,17,Female,2,3
13,12,12,2,12,Yes,1,18,Female,3,5
18,18,18,4,6,No,0,17,Female,2,3
14,13,14,3,8,Yes,0,18,Male,2,4
11,12,14,1,4,Yes,0,17,Male,3,5
0,9,10,2,0,Yes,0,19,Female,4,2
8,8,10,2,10,Yes,0,18,Female,5,2
14,13,14,4,0,Yes,0,18,Female,3,3
16,15,16,1,5,Yes,0,18,Male,2,1
11,10,12,2,14,Yes,0,18,Female,4,4
10,11,11,1,0,Yes,0,17,Male,1,5
14,12,15,3,0,Yes,0,17,Female,3,3
18,17,17,4,0,Yes,0,17,Female,2,5
13,14,15,2,20,Yes,1,19,Male,4,3
12,12,14,2,8,Yes,1,18,Female,3,3
18,18,17,1,0,No,0,20,Male,3,5
8,9,8,1,38,Yes,1,19,Male,4,4
12,12,15,2,0,No,1,19,Male,3,5
10,10,12,2,18,Yes,1,19,Female,3,3
0,9,9,2,0,No,1,19,Female,4,3
13,12,14,2,20,Yes,0,19,Female,1,2
11,11,13,2,3,Yes,1,19,Male,2,4
11,10,13,2,22,Yes,1,19,Female,2,1
13,13,15,3,14,Yes,2,19,Female,2,3
11,11,13,3,40,Yes,1,19,Female,2,3
0,8,8,2,0,Yes,0,18,Female,3,1
9,10,9,3,9,Yes,0,18,Female,4,5
10,11,11,3,0,Yes,0,17,Female,4,5
11,11,11,2,2,Yes,0,18,Female,4,5
13,13,13,2,23,Yes,0,17,Female,2,5
9,9,11,2,12,No,0,17,Female,2,3
11,11,11,3,3,Yes,0,17,Female,2,3
15,14,12,3,1,Yes,0,17,Female,3,5
15,15,16,3,0,Yes,0,17,Female,3,2
11,12,9,3,3,Yes,0,18,Male,3,3
16,15,14,1,3,Yes,0,17,Male,5,5
10,10,11,1,8,Yes,0,17,Male,5,4
9,9,10,3,7,Yes,0,17,Female,4,4
14,14,14,3,4,Yes,0,17,Female,3,4
8,8,9,4,2,Yes,0,18,Male,5,5
14,14,12,3,7,Yes,0,17,Female,3,5
0,0,7,2,0,Yes,0,18,Female,4,4
0,8,8,2,0,Yes,0,18,Female,3,2
0,9,10,4,0,No,0,18,Female,4,4
15,15,16,3,16,Yes,0,17,Female,5,5
13,13,14,3,12,No,1,19,Female,3,5
0,8,7,2,0,Yes,0,17,Female,2,2
17,15,16,4,7,Yes,0,18,Female,3,1
10,10,9,2,4,Yes,0,17,Female,3,2
11,12,11,3,4,Yes,1,19,Female,4,3
0,10,10,2,0,Yes,1,18,Male,3,2
15,15,16,2,11,Yes,0,18,Male,3,5
0,8,9,2,0,Yes,1,17,Female,1,4
10,10,11,3,4,Yes,0,18,Female,3,3
14,13,13,3,7,Yes,0,18,Female,3,1
16,15,16,3,9,Yes,0,18,Male,2,4
9,10,10,3,0,Yes,0,18,Male,5,5
15,15,13,3,0,Yes,0,17,Female,3,4
13,13,11,1,10,Yes,1,18,Male,5,5
8,7,8,2,8,Yes,3,19,Male,4,2
13,13,13,2,2,Yes,0,17,Male,4,3
8,7,8,1,7,Yes,1,18,Male,3,3
8,8,8,1,4,Yes,1,19,Male,4,5
11,11,13,2,4,Yes,0,17,Male,5,2
9,9,10,2,0,No,0,18,Female,4,5
13,13,12,2,4,Yes,0,17,Female,3,5
11,12,12,2,2,No,0,17,Female,3,5
10,10,10,1,4,Yes,0,18,Male,2,3
16,16,18,3,0,Yes,0,18,Female,2,4
13,13,13,2,0,No,0,18,Female,4,5
12,12,13,2,2,No,1,18,Male,3,5
10,11,11,2,0,Yes,0,18,Female,2,3
15,15,16,2,0,Yes,0,17,Female,4,1
12,11,12,2,0,No,0,17,Female,2,3
10,10,10,2,4,No,0,18,Male,4,3
13,13,13,3,0,Yes,0,18,Male,2,5
0,6,7,1,0,Yes,1,17,Female,1,1
10,10,11,1,0,Yes,0,18,Female,3,4
11,12,14,2,10,Yes,0,18,Female,2,5
9,7,7,2,4,No,2,19,Female,2,3
12,12,14,1,3,Yes,0,18,Male,3,3
11,11,13,3,8,No,0,17,Female,3,3
5,5,6,1,14,Yes,0,17,Female,5,1
19,18,19,3,0,Yes,0,18,Female,4,1
10,8,8,3,2,Yes,0,18,Female,2,4
15,14,15,3,4,Yes,2,20,Female,3,3
10,9,8,2,4,Yes,0,18,Female,3,2
15,15,15,2,0,Yes,0,18,Female,3,1
10,10,10,2,17,Yes,0,17,Female,4,1
14,14,15,2,4,Yes,0,18,Male,4,2
7,6,7,1,5,Yes,0,18,Male,3,5
10,11,11,2,2,Yes,0,17,Male,3,3
0,5,6,1,0,No,1,19,Male,2,5
5,5,6,1,14,No,1,18,Male,3,3
10,9,10,3,2,No,0,18,Female,3,4
6,5,6,1,7,Yes,0,18,Female,3,5
0,5,7,3,0,Yes,1,19,Female,2,5
8,9,7,2,0,Yes,0,18,Female,4,1
0,5,6,2,0,No,1,18,Female,1,5
9,9,9,2,11,No,2,20,Male,4,4
16,16,14,1,3,Yes,0,17,Male,5,2
7,8,10,1,3,No,3,21,Male,3,3
10,12,11,1,0,Yes,0,18,Male,1,5
9,9,8,1,5,Yes,0,19,Male,3,5
